StudentID,Name,Class,Age,Gender,Marks,City,Phone,CourseName,CoursePlatform,EnrollDate
1,Anna Sanchez,12B,16,Male,65.94,Sharonfurt,557-711-2614,Science,Skillshare,2025-03-29
2,Jeffrey Winters,10A,16,Male,74.26,Richardshire,822.260.1631,Art,Coursera,2024-09-14
3,Chase Warren,11B,18,Male,58.2,Port Kellychester,(280)837-0698x38175,Biology,Coursera,2024-10-07
4,Danny Anderson,10A,18,Male,55.81,Theodoreshire,378.907.9129,Art,Skillshare,2025-06-25
5,Jill Miller,12B,18,Male,96.48,West Aprilbury,(677)288-8442x9277,Biology,Udemy,2025-04-14
6,Derek Harrell,11A,16,Male,75.26,Kimport,959-428-0210x7324,Physics,edX,2024-07-14
7,Sherri Guzman,11A,18,Male,52.47,Johnsonport,465.808.9280x62111,Math,Skillshare,2025-05-01
8,Samantha Cook,11B,15,Female,90.72,Heathport,+1-896-645-3870x145,Computer Science,Udemy,2025-01-10
9,Justin Church,10A,17,Male,66.34,Wattsville,+1-502-833-9221x3982,Biology,edX,2025-02-10
10,Mr. Jacob King Jr.,11B,16,Female,51.28,Port Leslietown,(627)945-7536,History,Khan Academy,2024-07-20
11,Adam Watson,11A,17,Female,98.99,East Kevinfort,416-893-0284,History,Udemy,2024-07-27
12,Marcus Morgan MD,11B,15,Male,68.1,South Catherinebury,(289)538-3658,Physics,Skillshare,2024-07-12
13,Diane Conley,11B,17,Female,96.4,Ortizberg,(576)860-3205,Science,Khan Academy,2024-10-06
14,Sherri Rose,12A,15,Female,96.61,Smithport,+1-634-225-1279x42499,Art,Skillshare,2025-02-10
15,Kimberly Salazar,10A,18,Female,62.17,Reedville,(299)201-0350x7112,Art,edX,2025-04-13
16,Andrew Cross,12A,15,Male,93.95,Katiehaven,001-395-406-1699,History,Coursera,2025-05-08
17,Misty Cross,11B,16,Female,81.17,Josephberg,(731)289-6934,History,Skillshare,2024-09-23
18,Karen Small,10B,15,Female,66.83,Jeremymouth,(296)912-7309x986,Art,Skillshare,2025-01-05
19,Curtis Mcfarland,10B,15,Male,98.24,North Laurie,522.714.9420,Art,Skillshare,2024-12-12
20,Raymond Flowers,10A,18,Male,89.59,Lukeville,+1-615-206-5809,Science,Udemy,2025-05-19
21,Shannon Crawford,10B,18,Female,92.63,New Christina,+1-736-506-5399x35418,History,Khan Academy,2025-04-13
22,Mitchell Hill,12A,16,Female,98.23,Leonardborough,7826519358,Math,Khan Academy,2025-05-09
23,April Green,12A,16,Male,93.31,Schultzshire,995.363.0660x443,Art,Skillshare,2024-11-13
24,Kristin Hendricks,12B,16,Male,83.76,Jonathanberg,001-412-961-4627,Chemistry,Skillshare,2024-12-14
25,Dr. Lawrence Morales,12A,17,Male,88.34,East Carolynchester,2457394352,Science,Udemy,2025-04-18
